origin,dest,organ,x,u,y,n,cost,cap_cost,time
1,4,kidney,2.0,1.0,1.0,1.0,8.0,6.0,1.0
1,4,heart,0.0,1.0,1.0,1.0,12.0,6.0,1.0
1,4,ALL,2.0,1.0,1.0,1.0,6.0,6.0,
1,5,kidney,0.0,1.0,0.0,0.0,10.0,6.0,1.5
1,5,heart,1.0,1.0,0.0,0.0,14.0,6.0,1.5
1,5,ALL,1.0,1.0,0.0,0.0,6.0,6.0,
2,4,kidney,1.0,2.0,-0.0,-0.0,7.0,6.0,1.0
2,4,heart,0.0,2.0,-0.0,-0.0,9.0,6.0,1.0
2,4,ALL,1.0,2.0,-0.0,-0.0,6.0,6.0,
3,5,kidney,1.0,1.0,-0.0,-0.0,9.0,6.0,1.0
3,5,heart,0.0,1.0,-0.0,-0.0,999.0,6.0,9.0
3,5,ALL,1.0,1.0,-0.0,-0.0,6.0,6.0,
4,6,kidney,2.0,1.0,1.0,1.0,5.0,6.0,0.5
4,6,heart,0.0,1.0,1.0,1.0,6.0,6.0,0.5
4,6,ALL,2.0,1.0,1.0,1.0,6.0,6.0,
4,7,kidney,1.0,1.0,-0.0,-0.0,6.0,6.0,0.7
4,7,heart,0.0,1.0,-0.0,-0.0,7.0,6.0,0.7
4,7,ALL,1.0,1.0,-0.0,-0.0,6.0,6.0,
5,6,kidney,0.0,1.0,0.0,0.0,6.0,6.0,0.6
5,6,heart,1.0,1.0,0.0,0.0,7.0,6.0,0.6
5,6,ALL,1.0,1.0,0.0,0.0,6.0,6.0,
2,7,kidney,0.0,0.0,1.0,1.0,11.0,6.0,1.2
2,7,heart,1.0,0.0,1.0,1.0,13.0,6.0,1.2
2,7,ALL,1.0,0.0,1.0,1.0,6.0,6.0,
5,8,kidney,1.0,1.0,-0.0,-0.0,5.0,6.0,0.5
5,8,heart,-0.0,1.0,-0.0,-0.0,6.0,6.0,0.5
5,8,ALL,1.0,1.0,-0.0,-0.0,6.0,6.0,
